2023_RGB_8cm_W13C_13: left=-18000.0, bottom=-3738000.0, right=-17000.0, top=-3737000.0
2023_RGB_8cm_W13C_16: left=-20000.0, bottom=-3739000.0, right=-19000.0, top=-3738000.0
2023_RGB_8cm_W13C_17: left=-19000.0, bottom=-3739000.0, right=-18000.0, top=-3738000.0
2023_RGB_8cm_W13C_18: left=-18000.0, bottom=-3739000.0, right=-17000.0, top=-3738000.0
2023_RGB_8cm_W13C_21: left=-20000.0, bottom=-3740000.0, right=-19000.0, top=-3739000.0
2023_RGB_8cm_W13C_22: left=-19000.0, bottom=-3740000.0, right=-18000.0, top=-3739000.0
2023_RGB_8cm_W13C_23: left=-18000.0, bottom=-3740000.0, right=-17000.0, top=-3739000.0
2023_RGB_8cm_W14A_1: left=-20000.0, bottom=-3741000.0, right=-19000.0, top=-3740000.0
2023_RGB_8cm_W14A_2: left=-19000.0, bottom=-3741000.0, right=-18000.0, top=-3740000.0
2023_RGB_8cm_W14A_3: left=-18000.0, bottom=-3741000.0, right=-17000.0, top=-3740000.0
2023_RGB_8cm_W14A_6: left=-20000.0, bottom=-3742000.0, right=-19000.0, top=-3741000.0
2023_RGB_8cm_W14A_7: left=-19000.0, bottom=-3742000.0, right=-18000.0, top=-3741000.0
2023_RGB_8cm_W14A_11: left=-20000.0, bottom=-3743000.0, right=-19000.0, top=-3742000.0
2023_RGB_8cm_W14A_12: left=-19000.0, bottom=-3743000.0, right=-18000.0, top=-3742000.0
2023_RGB_8cm_W14A_16: left=-20000.0, bottom=-3744000.0, right=-19000.0, top=-3743000.0
2023_RGB_8cm_W14A_21: left=-20000.0, bottom=-3745000.0, right=-19000.0, top=-3744000.0
2023_RGB_8cm_W16C_14: left=-17000.0, bottom=-3768000.0, right=-16000.0, top=-3767000.0
2023_RGB_8cm_W16C_15: left=-16000.0, bottom=-3768000.0, right=-15000.0, top=-3767000.0
2023_RGB_8cm_W16C_16: left=-20000.0, bottom=-3769000.0, right=-19000.0, top=-3768000.0
2023_RGB_8cm_W16C_17: left=-19000.0, bottom=-3769000.0, right=-18000.0, top=-3768000.0
2023_RGB_8cm_W16C_18: left=-18000.0, bottom=-3769000.0, right=-17000.0, top=-3768000.0
2023_RGB_8cm_W16C_19: left=-17000.0, bottom=-3769000.0, right=-16000.0, top=-3768000.0
2023_RGB_8cm_W16C_20: left=-16000.0, bottom=-3769000.0, right=-15000.0, top=-3768000.0
2023_RGB_8cm_W16C_21: left=-20000.0, bottom=-3770000.0, right=-19000.0, top=-3769000.0
